feature,importance,importance_std
precio_brent_lag_6,3.0439839919364427e-05,4.144766783435688e-05
precio_bolsa_nacional_energetica_pct_change_1,3.0232909841243146e-05,2.8651311894241168e-05
bancolombia_price_usd_diff_lag_6,3.0002485592872663e-05,9.840731897806589e-05
policy_stance_neutral,2.8570990577452688e-05,1.2035464765542454e-05
precio_oro_diff_lag_6,2.503661839682904e-05,5.086585351103464e-05
precio_brent_lag_1,2.3658064062201737e-05,1.7753179989042487e-05
precio_oro_diff_lag_3,2.3304015117009413e-05,5.007181718890419e-05
precio_cafe_centusd_diff_lag_3,2.2352917031992493e-05,2.2271612678530987e-05
inflacion_sin_alimentos_diff_1,2.015832261970628e-05,1.9489483463412603e-05
precio_brent_diff_lag_2,1.806399983844374e-05,4.1725104937951935e-05
dtf_diff_lag_12,1.773104273109817e-05,1.4242768893945174e-05
precio_brent_lag_2,1.6363661316840318e-05,7.88114873236714e-05
bancolombia_price_usd_lag_1,1.6331325972846965e-05,1.374061374949718e-05
tipm_diff_1,1.566553514151976e-05,4.618137273776933e-06
trm_diff_lag_1,1.540654794337966e-05,2.009510012058642e-05
precio_cafe_centusd_lag_3,1.4992943524698433e-05,7.408113080883817e-06
bancolombia_price_usd_lag_3,1.319476403130529e-05,8.189769655588427e-06
demanda_energetica_lag_6,1.2944324268907014e-05,1.2988023455822476e-05
precio_cafe_centusd_diff_1,1.2516265335185337e-05,2.5365973771363727e-05
policy_stance_tightening,1.2258316165672175e-05,9.056976615611407e-06
tipm,1.221125135118864e-05,1.046789528322777e-05
precio_cafe_centusd_diff_lag_1,1.0673246182360888e-05,1.4495870736324553e-05
dtf_diff_lag_3,1.0495866219775023e-05,3.362997759833469e-05
tipm_lag_2,1.0418525093178546e-05,8.381492048385636e-06
tipm_pct_change_1,9.062745629210417e-06,6.485353395071995e-06
precio_bolsa_nacional_energetica,8.70833793174368e-06,5.72967432021838e-06
demanda_energetica_lag_2,8.411527612604483e-06,1.0328686792498308e-05
demanda_energetica_lag_3,7.30467380706673e-06,1.0601171089623326e-06
tipm_diff_lag_3,6.496388050365037e-06,4.541211661658565e-06
precio_oro_log_return_1_rolling_std_3,5.767902967810864e-06,1.692057536524567e-05
month,4.987252661530634e-06,3.1080514031538215e-05
inflacion_sin_alimentos_diff_lag_6,4.472415010219749e-06,4.248695493614044e-05
precio_oro_log_return_1_rolling_mean_6,3.926315589523194e-06,4.283034982288614e-05
precio_cafe_centusd_diff_lag_6,3.406030783587727e-06,5.6636160539548484e-05
precio_oro_lag_12,2.3788532147635266e-06,3.417863581448962e-06
precio_oro,2.1878501556361895e-06,2.961676443343691e-06
precio_cafe_centusd_lag_1,2.0600936218452546e-06,5.297504690981738e-06
tipm_diff_lag_1,1.621911938253645e-06,3.526242726738124e-06
inflacion_sin_alimentos,9.322366826904765e-07,6.770211449178439e-06
demanda_energetica_diff_lag_2,8.270208863906531e-07,1.3986454800480179e-05
demanda_energetica_lag_12,3.07550532193529e-07,1.3902489974199512e-05
tipm_lag_6,1.6366238695872393e-07,5.124100231552712e-06
executive_period_uribe_ii,0.0,0.0
executive_period_santos_i,0.0,0.0
executive_period_petro,0.0,0.0
executive_period_duque,0.0,0.0
trm,0.0,0.0
precio_oro_lag_2,0.0,0.0
precio_oro_lag_1,0.0,0.0
umap_cluster_2,0.0,0.0
executive_period_nan,0.0,0.0
policy_stance_nan,0.0,0.0
umap_cluster_0,0.0,0.0
umap_cluster_nan,0.0,0.0
umap_cluster_3,0.0,0.0
executive_period_santos_ii,0.0,0.0
year,0.0,0.0
executive_period_uribe_i,0.0,0.0
trm_lag_3,0.0,0.0
trm_lag_12,0.0,0.0
trm_lag_1,0.0,0.0
trm_lag_2,0.0,0.0
executive_period_pastrana,0.0,0.0
time_index,0.0,0.0
trm_lag_6,0.0,0.0
bancolombia_price_usd_diff_lag_3,-4.2517170570320615e-07,6.065777483583515e-05
policy_stance_easing,-7.462218580066987e-07,9.755837381295117e-07
precio_oro_lag_3,-7.841113737479255e-07,4.81795793623942e-06
tipm_diff_lag_12,-1.4592401726149645e-06,1.610757121700377e-06
tipm_diff_lag_2,-1.5103520214020117e-06,1.1126923738316334e-05
demanda_energetica_lag_1,-1.7880430653639117e-06,4.241090673861336e-06
inflacion_sin_alimentos_lag_6,-1.8027775709368588e-06,1.4404677414468864e-05
umap_cluster_1,-1.8366914750770485e-06,1.3295994453951362e-06
tipm_diff_lag_6,-1.8707475010364127e-06,1.5882375694666703e-05
inflacion_sin_alimentos_lag_12,-2.273692195176383e-06,1.5507498691583568e-05
policy_rate_change,-2.4141971231041863e-06,3.653343536413504e-06
precio_oro_log_return_1_rolling_std_6,-2.634003389828318e-06,1.6384513376017767e-05
bancolombia_price_usd_diff_lag_12,-3.0712240851774737e-06,1.781702316547137e-05
dtf_lag_1,-3.5962052823645256e-06,7.397459483985807e-06
precio_bolsa_nacional_energetica_lag_6,-3.820650050171542e-06,8.387953270787048e-06
precio_brent,-3.978455961566041e-06,1.9495849515161577e-05
trm_diff_1,-5.791799452300323e-06,4.084091559083333e-05
bancolombia_price_usd_lag_2,-6.026136768645662e-06,6.411994847961641e-06
precio_bolsa_nacional_energetica_lag_12,-6.575303432063487e-06,2.1990419141931687e-05
precio_bolsa_nacional_energetica_diff_lag_6,-6.934381873660924e-06,5.055227329692078e-05
dtf_lag_3,-7.104797840919164e-06,9.081752212212567e-06
precio_brent_diff_lag_3,-8.471314133970051e-06,4.044515321070851e-05
precio_cafe_centusd_lag_2,-1.0504756529157445e-05,5.0577716442199255e-06
precio_oro_lag_6,-1.0971628989382352e-05,1.825526273550111e-05
precio_brent_diff_lag_1,-1.1243187437814245e-05,6.923881798101207e-05
tipm_lag_3,-1.190763986556008e-05,6.89204392036558e-06
bancolombia_price_usd,-1.2005697523065697e-05,2.191001174252485e-05
dtf_lag_12,-1.3466201475142298e-05,9.790233233605822e-06
inflacion_sin_alimentos_lag_2,-1.3846594009159566e-05,1.0604744847974506e-05
inflacion_sin_alimentos_diff_lag_2,-1.4818556244650463e-05,4.2670759854374445e-05
bancolombia_price_usd_lag_6,-1.5858091395770658e-05,1.1185980222335321e-05
demanda_energetica_diff_lag_6,-1.6584708844760364e-05,2.586394209692991e-05
demanda_energetica,-1.7516913813321948e-05,7.840398004936953e-06
tipm_lag_12,-1.9227292365539897e-05,1.697075596052867e-05
tipm_lag_1,-1.9284758097761616e-05,4.608106320193657e-06
inflacion_sin_alimentos_lag_3,-1.9446335815920258e-05,1.3028365543751191e-05
precio_oro_diff_lag_12,-2.0158064794986026e-05,3.205167587482303e-05
precio_bolsa_nacional_energetica_diff_lag_3,-2.2846158681412432e-05,5.8602140364027475e-05
precio_cafe_centusd_lag_6,-2.456440407884383e-05,1.3363861014910767e-05
precio_brent_diff_lag_12,-2.6061242235716695e-05,2.90950931939692e-05
precio_oro_log_return_1_rolling_std_12,-2.6666781953181214e-05,1.0261530955298627e-05
dtf_lag_6,-2.7393984046967037e-05,1.3504525678319037e-05
precio_bolsa_nacional_energetica_lag_1,-2.7620794861352854e-05,9.456776772746464e-06
dtf_lag_2,-2.924830167445672e-05,1.8060823462676607e-05
dtf,-3.044008503385806e-05,1.929662443247959e-05
precio_brent_diff_1,-3.0494840310558644e-05,0.0004412959573878342
precio_brent_pct_change_1,-3.1370985035601703e-05,5.326719607945715e-05
bancolombia_price_usd_diff_lag_2,-3.192658464746603e-05,4.8534350445017616e-05
precio_oro_diff_lag_2,-3.47282248350185e-05,3.390732304536745e-05
precio_bolsa_nacional_energetica_diff_1,-4.740432275019517e-05,1.917574724735132e-05
precio_cafe_centusd,-4.805248901936059e-05,1.9840417293423188e-05
precio_brent_lag_12,-5.7014045919972706e-05,4.53332913503976e-05
dtf_diff_lag_6,-6.173384785627226e-05,3.174381091104418e-05
dtf_diff_lag_2,-6.555419051173863e-05,5.250122956597525e-05
precio_cafe_centusd_lag_12,-7.011042687515082e-05,3.2649965039163515e-05
inflacion_sin_alimentos_diff_lag_3,-7.452220931566112e-05,8.832719577712957e-05
precio_bolsa_nacional_energetica_diff_lag_1,-7.547462392351739e-05,9.15603584299949e-05
dtf_pct_change_1,-9.152270850158739e-05,6.391316595422632e-05
dtf_diff_1,-9.331357521789769e-05,0.00015160586973555126
precio_cafe_centusd_diff_lag_12,-9.637277217854866e-05,1.5836474879391356e-05
precio_brent_diff_lag_6,-9.84804419149065e-05,4.935641605293804e-05
demanda_energetica_diff_lag_1,-0.0001045494162215714,7.631403603534357e-05
umap_embedding_y,-0.00012108000022442931,4.52838693120553e-05
precio_oro_log_return_1_rolling_mean_12,-0.0001683034282853525,0.00019797592536288262
