feature,importance,importance_std
precio_oro_diff_1,0.0006906709978928612,0.00048253265451419407
inflacion_sin_alimentos_diff_lag_12,0.0001326781297873017,3.139021524023423e-05
precio_oro_pct_change_1,0.00012420138423880622,5.358229684126744e-05
bancolombia_price_usd_diff_1,0.00010721100964467545,4.493880832582454e-05
precio_oro_diff_lag_1,9.939687947634889e-05,4.876671027835041e-05
bancolombia_price_usd_pct_change_1,9.462860894642044e-05,5.407843594591108e-05
inflacion_sin_alimentos_diff_lag_1,8.907036036054118e-05,5.431491541872628e-05
precio_bolsa_nacional_energetica_lag_2,8.419488404046022e-05,1.7247629632438634e-05
demanda_energetica_pct_change_1,8.258915692686968e-05,0.00010475044296513844
precio_brent_lag_3,8.252301898145562e-05,9.281542295001867e-05
precio_oro_log_return_1,8.171010639802037e-05,6.255085960998653e-05
trm_diff_lag_3,8.118797330841191e-05,0.0002459738424515929
precio_cafe_centusd_diff_lag_2,8.009948964454033e-05,2.0452392935914878e-05
inflacion_sin_alimentos_pct_change_1,6.874821266021902e-05,5.058086018478086e-05
demanda_energetica_diff_lag_3,6.675884585541011e-05,3.103412633758492e-05
precio_oro_log_return_1_rolling_mean_3,6.615459223073341e-05,8.647805346788494e-05
demanda_energetica_diff_lag_12,6.396203001322355e-05,3.2645643774825126e-05
umap_embedding_x,5.8377304243225835e-05,3.2703176503896183e-05
demanda_energetica_diff_1,5.434721266509013e-05,3.6444235515701504e-05
trm_diff_lag_6,5.327805924174312e-05,4.956026858550654e-05
precio_cafe_centusd_pct_change_1,5.23500176904404e-05,3.07631178234084e-05
precio_bolsa_nacional_energetica_diff_lag_2,5.028977165561464e-05,7.954962684129703e-05
bancolombia_price_usd_diff_lag_1,4.796435628859862e-05,3.344273588034018e-05
trm_diff_lag_2,3.941897781521292e-05,2.4530220096726178e-05
inflacion_sin_alimentos_lag_1,3.494823603968772e-05,1.3222756224606811e-05
trm_diff_lag_12,3.479495267483812e-05,2.1585498491107727e-05
bancolombia_price_usd_lag_12,3.425976568267423e-05,1.546329461073209e-05
precio_bolsa_nacional_energetica_lag_3,3.3119648725564443e-05,3.5934449802632165e-05
trm_pct_change_1,3.310875278613942e-05,3.7480392048110366e-05
precio_bolsa_nacional_energetica_diff_lag_12,3.275763529667561e-05,2.7688283453668957e-05
dtf_diff_lag_1,3.2125639748464485e-05,2.7651428389740314e-05
