feature,importance,importance_std
tipm_lag_6,-2.03781770715325e-06,2.05281895866204e-05
umap_cluster_3,-2.613701052732453e-06,8.617583216769961e-07
tipm_diff_lag_12,-3.7469230068760962e-06,1.7934998386969113e-06
tipm_diff_1,-7.4420823743232e-06,2.560059234360456e-06
precio_bolsa_nacional_energetica_diff_lag_3,-7.932544084232606e-06,2.0797801661875393e-05
demanda_energetica_lag_2,-8.56824490038377e-06,1.8193768968081275e-05
dtf_lag_12,-8.84738585559125e-06,3.076098537020704e-05
precio_cafe_centusd_diff_lag_2,-1.0708608888136684e-05,1.667575973162503e-05
demanda_energetica_diff_lag_12,-1.1865141630668096e-05,2.115375867939287e-05
precio_brent_pct_change_1,-1.4636123354515306e-05,3.997420706141443e-05
precio_cafe_centusd_lag_3,-1.487871249193501e-05,6.3468868039401065e-06
demanda_energetica_pct_change_1,-1.627621478287322e-05,1.7706499038331796e-05
precio_oro_diff_1,-1.8093911711604403e-05,1.2055836832125468e-05
precio_oro_diff_lag_2,-1.8698798540851824e-05,4.802293394886079e-05
precio_oro_log_return_1_rolling_std_3,-2.294352251594606e-05,4.923868008703565e-05
precio_oro_log_return_1,-2.4606604252320334e-05,2.639981716047785e-05
inflacion_sin_alimentos_diff_1,-3.08577328960051e-05,1.5067436921339195e-05
precio_oro_diff_lag_6,-3.3811668321044595e-05,0.00012017966778676777
bancolombia_price_usd_lag_1,-3.574169740909114e-05,2.5655252318567103e-05
precio_cafe_centusd_diff_lag_1,-3.8815742231382984e-05,3.251082459040078e-05
precio_oro_diff_lag_3,-3.902707925541177e-05,3.39115253114201e-05
precio_cafe_centusd_lag_2,-4.2868515118852504e-05,1.5730706164898248e-05
precio_cafe_centusd_pct_change_1,-4.325394473258318e-05,6.630492629578998e-05
precio_oro_log_return_1_rolling_std_6,-4.778232168882249e-05,4.357968873272676e-05
tipm_lag_2,-4.848704849592031e-05,1.6834652498174234e-05
precio_cafe_centusd,-4.9051402814390135e-05,3.1168954037422194e-05
precio_cafe_centusd_lag_1,-5.185193595728527e-05,3.8872649813174837e-05
precio_oro_lag_12,-5.7552084923962604e-05,8.619173121548497e-05
month,-5.887150258980858e-05,8.240040249383307e-05
demanda_energetica_diff_lag_3,-6.0791163607392534e-05,2.7678993640288327e-05
tipm_lag_3,-6.368949187247896e-05,2.7386439536566897e-05
precio_brent_diff_lag_3,-6.483729846095617e-05,6.430724565025604e-05
demanda_energetica_diff_lag_1,-6.702384870784714e-05,6.73536466247515e-05
precio_brent_diff_lag_6,-7.189705781162556e-05,0.0001625862523905179
bancolombia_price_usd,-7.928616105009264e-05,8.519643812044029e-05
inflacion_sin_alimentos_diff_lag_1,-8.052940559615112e-05,3.080429185533577e-05
dtf_lag_2,-8.407611181281069e-05,2.2147636159366677e-05
tipm_lag_12,-8.430371760489996e-05,4.092990406683228e-05
precio_cafe_centusd_diff_1,-8.935920692451569e-05,4.945054633891799e-05
precio_cafe_centusd_diff_lag_12,-9.449202321146696e-05,8.424642778663749e-05
demanda_energetica_diff_lag_2,-0.00010251129511969215,8.788581677001705e-05
inflacion_sin_alimentos_diff_lag_3,-0.00010788876473107888,2.2181572040286257e-05
dtf_diff_lag_1,-0.00011952704552296856,3.5090074711562116e-05
precio_oro_log_return_1_rolling_mean_3,-0.00012587952438793473,9.387073483420017e-05
precio_cafe_centusd_lag_6,-0.0001307338595620433,3.751883257082049e-05
precio_bolsa_nacional_energetica,-0.00013169605081609983,2.70140408628635e-05
inflacion_sin_alimentos_lag_3,-0.00013189500882952732,3.82020768345384e-05
umap_embedding_y,-0.00013556691950984204,7.863840546593683e-05
precio_oro_diff_lag_1,-0.00014324530861662896,6.607945381526334e-05
inflacion_sin_alimentos_diff_lag_2,-0.00015079647641845704,8.279778832470114e-05
inflacion_sin_alimentos_lag_2,-0.00015424251724515254,3.0398731862218624e-05
dtf_lag_3,-0.00017474661497948255,3.371667567358249e-05
dtf,-0.0002343015262542901,6.69758480851785e-05
precio_bolsa_nacional_energetica_diff_lag_1,-0.0002578473197046516,0.00013529358196713175
precio_oro_lag_6,-0.00026301846372481854,0.00013530197123604875
precio_oro_log_return_1_rolling_mean_12,-0.00027691359975025656,0.0002523899463035108
dtf_diff_1,-0.00031306798155408475,0.0002108807569741445
precio_bolsa_nacional_energetica_lag_12,-0.0003562280643687833,5.908167227658232e-05
precio_brent_lag_12,-0.000484487437723867,0.00020394721188991667
dtf_lag_6,-0.0005498549453872223,0.00011682073061122026
precio_cafe_centusd_lag_12,-0.000559154089084709,0.00020024802276895893
precio_brent_lag_6,-0.000623457040402197,0.0002900123860849433
inflacion_sin_alimentos_lag_12,-0.0008526223659639156,0.00012487625031603898
