cluster,feature,loading_x,loading_y,relevance,n_obs
0,demanda_energetica,-5.875802835604031,-3.062389742702447,0.12276004301751334,2628
0,trm,-3.736510735943062,0.8403733973357275,0.04944109066384049,2628
0,tipm,0.39328520908757625,4.765154514249417,0.10016194788156513,2628
0,precio_brent,-3.5034428884285944,-3.696587061118592,0.13694118286041912,2628
0,precio_cafe_centusd,-4.611325863083092,-2.6149744667899224,0.08241708199451205,2628
0,dtf,1.428145785743144,5.631002738613946,0.12010766388491056,2628
0,bancolombia_price_usd,-5.408054970771072,-4.5987428817504465,0.13352501969223637,2628
0,inflacion_sin_alimentos,-0.2784684332899321,4.801139575896565,0.11443384463462952,2628
0,precio_bolsa_nacional_energetica,-6.55160664609177,-0.749319201488297,0.1402121253703733,2628
1,demanda_energetica,14.15674802357836,7.841040161848033,0.12066900529719046,1675
1,trm,12.089666818284408,2.6020174793883495,0.11594914689256018,1675
1,tipm,9.92124777023831,2.3523616727472394,0.08048080782591088,1675
1,precio_brent,9.24296522723137,9.635638150548681,0.10228544095627569,1675
1,precio_cafe_centusd,14.638382066119306,9.870979900051186,0.14816786095432097,1675
1,dtf,8.229502258184105,1.2635212259836754,0.061769285092433346,1675
1,bancolombia_price_usd,12.37536264550166,9.802663490313106,0.12927730292565384,1675
1,inflacion_sin_alimentos,7.357020908077743,-0.9467045487681776,0.06864164765313091,1675
1,precio_bolsa_nacional_energetica,16.58708589397108,4.791495391071788,0.17275950240252375,1675
2,demanda_energetica,-0.33583238711008967,1.3583295679226168,0.03758086941523986,2485
2,trm,-2.7980990657255544,2.839717762976022,0.04303983471339688,2485
2,tipm,-6.253199100109516,7.2460931469717345,0.18222632028659097,2485
2,precio_brent,2.644005439825806,1.2813899099647266,0.19724079922795404,2485
2,precio_cafe_centusd,2.2534125744847233,-0.2917050229533853,0.11902075667045851,2485
2,dtf,-5.920926712357265,6.795256233742979,0.1644750406525279,2485
2,bancolombia_price_usd,3.1180362908151817,-1.0599361804883962,0.13835452854448904,2485
2,inflacion_sin_alimentos,-4.5627231127929,5.0324123674179475,0.09573790748663184,2485
2,precio_bolsa_nacional_energetica,-1.4305048092735424,1.8136054935880317,0.022323943002710952,2485
3,demanda_energetica,-4.860796048464767,1.8151859268928963,0.05314644378223295,2495
3,trm,-6.340732366862988,2.202129703796026,0.0821118903338506,2495
3,tipm,-8.850492150421154,6.344099174614205,0.16395305511797373,2495
3,precio_brent,-5.867142888669985,1.7643665646785598,0.07256440001004766,2495
3,precio_cafe_centusd,-9.94937604323375,0.869147493861087,0.1507221256575032,2495
3,dtf,-9.088090726754885,6.1733344092051246,0.15628832748809024,2495
3,bancolombia_price_usd,-2.985960321259131,0.4483893458916368,0.022785193399401587,2495
3,inflacion_sin_alimentos,-9.953938378653714,6.674024436036975,0.17011053652648625,2495
3,precio_bolsa_nacional_energetica,-3.5226493342400054,4.592296316241349,0.1283180276844139,2495
