feature,importance
precio_cafe_centusd,0.0019987463304776652
precio_oro_lag_3,0.0019422173818670612
dtf_lag_6,0.0019359702626598153
inflacion_sin_alimentos,0.0018788695216075215
bancolombia_price_usd_lag_1,0.0018540990369965123
policy_stance_neutral,0.00165085325877825
inflacion_sin_alimentos_lag_1,0.0015322777237795427
dtf_lag_3,0.0014210503402882345
dtf,0.0014106086529242171
tipm_diff_lag_2,0.001244726448152996
tipm_pct_change_1,0.0012320208071518544
bancolombia_price_usd_lag_3,0.0011732932014581817
dtf_lag_1,0.001158721432184474
tipm,0.0010104233138393108
precio_oro,0.0009995402680232689
tipm_lag_1,0.0009100621569169677
inflacion_sin_alimentos_lag_2,0.0008885750219695195
inflacion_sin_alimentos_lag_3,0.0008310119363207629
tipm_lag_6,0.0008259323925112584
tipm_diff_lag_3,0.0007908354084588598
tipm_lag_3,0.0007626246660748742
policy_stance_tightening,0.0005818589885696236
tipm_diff_lag_1,0.000560500223516048
time_index,0.0005094412996624675
year,0.0003825998284552756
executive_period_santos_ii,0.00035765040724776757
tipm_diff_1,0.0003363959453818792
tipm_lag_2,0.00031327739209319574
executive_period_uribe_i,0.0002766786618663557
executive_period_uribe_ii,0.00024646169632175965
umap_cluster_0,0.0002293504037403483
tipm_diff_lag_12,0.00021067182410061864
umap_cluster_1,0.00017841125604767637
policy_rate_change,0.00015350308501590286
umap_cluster_2,9.59160834331978e-05
policy_stance_easing,5.034865615688926e-05
executive_period_santos_i,3.180743826081096e-05
executive_period_pastrana,5.49687864315297e-06
executive_period_duque,0.0
executive_period_petro,0.0
executive_period_nan,0.0
policy_stance_nan,0.0
umap_cluster_3,0.0
umap_cluster_nan,0.0
