feature,importance
inflacion_sin_alimentos_diff_lag_1,0.001568946313984464
demanda_energetica_diff_lag_1,0.0015455926586476678
bancolombia_price_usd_pct_change_1,0.0015041026281827224
precio_brent_pct_change_1,0.0014660329264505746
precio_oro_log_return_1,0.001416122552910478
demanda_energetica_diff_lag_12,0.0013946102146036143
precio_cafe_centusd_pct_change_1,0.001346568350928676
precio_bolsa_nacional_energetica_diff_1,0.0013436832501195289
demanda_energetica_diff_lag_6,0.001307413444893637
trm_pct_change_1,0.0012213259692187102
bancolombia_price_usd_diff_lag_12,0.001141571691036966
demanda_energetica_diff_1,0.0010821070475589018
demanda_energetica,0.0009629670835092401
bancolombia_price_usd_lag_2,0.0009522525920627652
demanda_energetica_lag_6,0.000924403306173147
precio_bolsa_nacional_energetica_diff_lag_3,0.0009113396857915615
tipm_lag_3,0.000904935730794542
umap_cluster_1,0.0007681996879984096
demanda_energetica_pct_change_1,0.0007471161579031741
tipm_lag_1,0.0007432490832540572
tipm_diff_lag_6,0.0006405433424980738
tipm_diff_lag_12,0.0006175774974958491
umap_cluster_0,0.00043192902485365386
executive_period_uribe_i,0.00036109831652084883
tipm_lag_2,0.0002822464844162043
executive_period_uribe_ii,0.00027232805335810354
policy_stance_easing,0.00020080439693796607
policy_rate_change,0.00011435726854877143
tipm_diff_1,8.44724032270173e-05
policy_stance_neutral,7.804820642168792e-05
policy_stance_tightening,3.635788056404277e-05
executive_period_santos_i,2.62393598141816e-05
umap_cluster_2,2.5493599221162234e-05
year,2.2585835828945818e-05
executive_period_pastrana,4.3499716685273306e-07
executive_period_duque,0.0
executive_period_petro,0.0
executive_period_nan,0.0
policy_stance_nan,0.0
umap_cluster_3,0.0
umap_cluster_nan,0.0
