feature,importance,importance_std
demanda_energetica_lag_2,-1.9624776599480585e-05,1.701010032098268e-05
precio_bolsa_nacional_energetica_diff_lag_2,-2.0550659529325333e-05,1.998242774408174e-05
precio_brent_diff_1,-2.2217734096603713e-05,2.7019008170294024e-05
bancolombia_price_usd_diff_lag_3,-2.3485985943998146e-05,1.8095721147430334e-05
tipm_diff_lag_12,-2.4210100919490328e-05,9.83555017255272e-06
policy_rate_change,-2.6137119812451316e-05,1.5562798265512988e-05
demanda_energetica_diff_lag_6,-2.8754756523845237e-05,1.4083538649068886e-05
dtf_diff_1,-2.91165046235789e-05,0.0001337787694833948
precio_bolsa_nacional_energetica_pct_change_1,-2.9376811350718955e-05,1.3853117488977568e-05
precio_cafe_centusd_diff_1,-2.9472588537290956e-05,2.710983660124678e-05
demanda_energetica_pct_change_1,-3.225385678376907e-05,3.133275200497104e-05
trm_diff_lag_1,-3.336035601334969e-05,2.2146645950088355e-05
precio_oro_log_return_1,-3.700738040656043e-05,2.9282082405309236e-05
precio_brent_diff_lag_2,-4.214786341559529e-05,2.3231583018380754e-05
precio_oro_log_return_1_rolling_mean_6,-4.2504460930185836e-05,0.00028863859634793574
inflacion_sin_alimentos_lag_1,-4.316169241827955e-05,4.9989512900013976e-05
tipm_lag_2,-5.0071105526586224e-05,9.635888636488926e-06
trm_diff_lag_3,-5.9607725985830196e-05,4.4154937176727374e-05
precio_oro_diff_1,-6.171987977412197e-05,3.4474231413127676e-05
precio_brent_diff_lag_3,-6.304322312076921e-05,8.122245903093882e-05
precio_bolsa_nacional_energetica_diff_lag_12,-7.236212018657956e-05,3.341040868961872e-05
inflacion_sin_alimentos_diff_lag_12,-7.651568540246179e-05,6.899233824267967e-05
precio_brent_diff_lag_1,-7.698130395175362e-05,3.1853609348716526e-05
inflacion_sin_alimentos_diff_lag_2,-0.00010376888778751425,6.844439392738335e-05
precio_oro_diff_lag_1,-0.00010626612313846956,0.00023156060686273269
precio_cafe_centusd,-0.00010800398433452874,9.543811069461328e-05
precio_oro_diff_lag_12,-0.00012218845895547585,0.00018553843523445057
precio_cafe_centusd_diff_lag_12,-0.00012431803361587918,4.491887537471946e-05
tipm_lag_1,-0.00013253205221235714,2.3310288934284273e-05
dtf,-0.00013898357846038462,3.566399412784125e-05
tipm_lag_3,-0.00015955411793755342,3.1260351562691836e-05
precio_oro_log_return_1_rolling_mean_3,-0.0001682312322330723,0.00015512526234876274
precio_cafe_centusd_diff_lag_6,-0.00017029375600149387,6.262291259806748e-05
dtf_pct_change_1,-0.0001763614672871977,0.00013207864041076735
precio_oro_log_return_1_rolling_mean_12,-0.00019058100303065846,0.00020193260271499306
umap_embedding_y,-0.00023332586645330027,0.00010282516400809627
dtf_lag_2,-0.00025559845463999503,4.614401980830191e-05
precio_bolsa_nacional_energetica_lag_6,-0.0002612478238331717,8.882076258416894e-05
inflacion_sin_alimentos_lag_6,-0.00033816885259182333,0.000152655995795934
precio_oro_lag_12,-0.00033908102574782827,0.00033068644671758736
inflacion_sin_alimentos,-0.00037896630563794416,0.00017511516438434985
inflacion_sin_alimentos_lag_2,-0.00037951867039735104,8.324848149090296e-05
inflacion_sin_alimentos_lag_3,-0.00046798344272165756,9.102434544433777e-05
dtf_lag_3,-0.00047145027557923407,0.0001390097673394691
precio_cafe_centusd_lag_12,-0.00048533482926983176,9.81916721418614e-05
precio_brent_lag_3,-0.0005821986073936636,0.00022037635611677134
tipm_lag_6,-0.0009752883796049147,0.00023102009053413438
inflacion_sin_alimentos_lag_12,-0.0016798294711061104,0.0011110885165479584
dtf_lag_6,-0.0018316742388611751,0.00033946940912034574
precio_brent_lag_6,-0.004622977972397749,0.0018031058716859048
