feature,importance,importance_std
bancolombia_price_usd_lag_12,0.0019446046191293836,0.00047408744918333483
precio_bolsa_nacional_energetica_lag_2,0.0017058386272905597,0.00041832794108827563
precio_brent,0.0011641964956071366,0.0006261376716892753
precio_bolsa_nacional_energetica_lag_1,0.0005896926161783472,0.0001996383524932889
precio_brent_lag_1,0.0004863447144855468,0.0003482866473698608
precio_brent_lag_2,0.0003939903042713078,0.0004761330033342725
dtf_lag_12,0.00036660790243374234,7.941554914372382e-05
precio_bolsa_nacional_energetica,0.00022871023567056918,8.778078285921714e-05
tipm_pct_change_1,0.00019700221580816606,0.00010339678152483736
precio_bolsa_nacional_energetica_lag_3,0.00017737873361678842,5.05496726860304e-05
trm_diff_lag_12,0.00016946300248256164,0.00011426101603088969
umap_embedding_x,0.00011343307994409191,0.00015163263952726753
demanda_energetica_lag_3,0.00010669382916121822,3.423850698921465e-05
precio_oro_lag_2,0.00010428219344333773,7.131985995343859e-05
tipm_diff_lag_2,8.018751688918663e-05,3.913970548997111e-05
tipm_diff_lag_1,7.829316908706669e-05,7.345207365266311e-05
precio_brent_lag_12,7.105983886831341e-05,0.0002332014022840488
tipm_diff_lag_3,6.998724585972199e-05,1.7726860453692302e-05
precio_cafe_centusd_lag_2,6.428128609600874e-05,2.2229176381773272e-05
bancolombia_price_usd_diff_1,6.321301897930232e-05,3.4686758153380536e-05
precio_oro_log_return_1_rolling_std_12,6.170412040026746e-05,3.4996804886262154e-05
precio_oro_lag_1,5.9712650737517305e-05,4.855483670028033e-05
dtf_diff_lag_2,5.740125169425153e-05,2.6623155108696495e-05
inflacion_sin_alimentos_diff_lag_6,5.387676297100852e-05,2.9168173333720155e-05
trm_diff_lag_6,5.222869035557548e-05,2.3745883282274237e-05
inflacion_sin_alimentos_diff_lag_1,4.916744772823084e-05,1.8784194118678883e-05
bancolombia_price_usd_lag_6,4.8494104236328214e-05,1.3146346590448903e-05
tipm_lag_12,4.079627493181331e-05,2.0123108013010388e-05
bancolombia_price_usd_diff_lag_12,4.055453408684379e-05,2.3198392040957454e-05
precio_oro,4.0169128330330704e-05,2.3554652076320567e-05
inflacion_sin_alimentos_diff_lag_3,3.723574254462098e-05,1.3544481815278058e-05
precio_cafe_centusd_lag_3,3.1130075919370835e-05,1.7191030666076475e-05
inflacion_sin_alimentos_diff_1,2.94760666285393e-05,6.268824968509386e-05
precio_brent_pct_change_1,2.8071810681118416e-05,2.0872137144107156e-05
precio_cafe_centusd_diff_lag_1,2.77807223822063e-05,3.748457443644743e-05
month,2.6559932961311983e-05,1.9568161011548678e-05
bancolombia_price_usd_lag_2,2.6037188441073443e-05,1.765593726452406e-05
bancolombia_price_usd_pct_change_1,2.6015017103996063e-05,2.098215570679083e-05
precio_cafe_centusd_lag_1,2.22330457547118e-05,2.9305528724712234e-05
precio_oro_diff_lag_6,2.0099639914854252e-05,4.195371565431313e-05
precio_cafe_centusd_diff_lag_3,1.907417251287291e-05,1.3248535969330135e-05
precio_oro_log_return_1_rolling_std_3,1.694704216926024e-05,3.821505439890311e-05
precio_bolsa_nacional_energetica_diff_lag_3,1.6897354469858072e-05,2.5658094244174213e-05
dtf_diff_lag_12,1.5502280655721457e-05,3.1478642759710364e-05
precio_oro_lag_3,1.5163588960095952e-05,1.3829767258787223e-05
precio_brent_diff_lag_12,1.2434333995281488e-05,5.9606523203899786e-05
tipm,1.2199373908844402e-05,1.984835163424363e-05
trm_pct_change_1,1.1783504666015854e-05,2.0604745938309027e-05
policy_stance_neutral,1.1465884621573996e-05,3.9322573699029925e-06
tipm_diff_1,1.0904301815767292e-05,6.253726946147342e-06
bancolombia_price_usd_diff_lag_2,1.0891589597723794e-05,2.933193307183073e-05
precio_bolsa_nacional_energetica_diff_lag_1,1.0728759119590924e-05,1.786319618293421e-05
inflacion_sin_alimentos_pct_change_1,8.906293399844888e-06,0.0001106177114851461
demanda_energetica_diff_lag_1,8.610691150849615e-06,1.6941654086162328e-05
dtf_diff_lag_1,8.428697663567797e-06,5.2474537192778534e-05
precio_bolsa_nacional_energetica_diff_1,7.992903959264109e-06,1.6414762185239475e-05
precio_bolsa_nacional_energetica_diff_lag_6,6.784653545970076e-06,1.872966218736211e-05
precio_oro_diff_lag_3,6.772503420367226e-06,2.7633429096214125e-05
demanda_energetica,6.552945435851776e-06,7.414286005643093e-06
precio_oro_diff_lag_2,5.387109754635688e-06,4.6392684731544155e-05
tipm_diff_lag_6,4.283683033200203e-06,8.241071822976096e-06
dtf_diff_lag_6,3.6153281239431623e-06,2.23486068258281e-05
precio_cafe_centusd_lag_6,2.8405678781068254e-06,2.3263331810148013e-05
dtf_diff_lag_3,2.5516450880946893e-06,5.897731666302984e-05
bancolombia_price_usd_diff_lag_6,2.491309392776975e-06,5.621557430681843e-05
umap_cluster_3,2.291306104214297e-06,1.262535913577244e-06
trm_diff_lag_2,6.213633089363624e-07,1.1837043738379738e-05
umap_cluster_0,0.0,0.0
umap_cluster_2,0.0,0.0
executive_period_pastrana,0.0,0.0
executive_period_petro,0.0,0.0
executive_period_uribe_i,0.0,0.0
executive_period_santos_ii,0.0,0.0
executive_period_santos_i,0.0,0.0
executive_period_uribe_ii,0.0,0.0
trm_lag_1,0.0,0.0
trm_lag_6,0.0,0.0
trm_lag_3,0.0,0.0
executive_period_nan,0.0,0.0
umap_cluster_nan,0.0,0.0
time_index,0.0,0.0
year,0.0,0.0
trm,0.0,0.0
policy_stance_nan,0.0,0.0
precio_brent_diff_lag_6,-1.1196776502020445e-06,3.1224541655725614e-05
trm_lag_12,-1.1308615863930837e-06,2.2693381794219915e-06
demanda_energetica_diff_lag_3,-2.2728527782275854e-06,2.7676981783214518e-05
precio_oro_lag_6,-2.2857399312473104e-06,1.874332422819173e-06
demanda_energetica_lag_6,-2.43738862963222e-06,5.130175102250501e-06
precio_cafe_centusd_diff_lag_2,-2.8266765381632086e-06,3.3180799995277614e-05
bancolombia_price_usd,-3.4054101428732107e-06,1.4429220319070856e-05
policy_stance_tightening,-3.966918398330688e-06,3.2354838252803606e-06
trm_lag_2,-4.009325392005658e-06,3.24417483006726e-06
dtf_lag_1,-4.707683917595795e-06,1.4609085318549704e-05
precio_bolsa_nacional_energetica_lag_12,-5.0208996144343595e-06,2.7531780533471974e-05
trm_diff_1,-5.634342960690597e-06,2.585300062240383e-05
executive_period_duque,-6.277441663825323e-06,1.922066120812444e-06
demanda_energetica_diff_1,-9.078226869703444e-06,1.3378292560385133e-05
demanda_energetica_lag_1,-9.356575067151484e-06,7.247540846086425e-06
umap_cluster_1,-9.680256488697747e-06,1.2182136502427317e-06
bancolombia_price_usd_lag_1,-9.812283115795405e-06,1.1945175252373259e-05
precio_cafe_centusd_pct_change_1,-1.2180017314505908e-05,1.0175411075887516e-05
demanda_energetica_lag_12,-1.2753590450055585e-05,6.954521820383662e-06
bancolombia_price_usd_lag_3,-1.3173313596960556e-05,5.554968171499417e-06
demanda_energetica_diff_lag_12,-1.3478040668982171e-05,1.440418420980984e-05
precio_oro_log_return_1_rolling_std_6,-1.3649175872959551e-05,2.835678566148723e-05
bancolombia_price_usd_diff_lag_1,-1.6589480034870374e-05,3.852004100873608e-05
precio_oro_pct_change_1,-1.6699613966969507e-05,2.704955803737686e-05
policy_stance_easing,-1.7842426411511515e-05,5.4976652190821445e-06
demanda_energetica_diff_lag_2,-1.933898558728192e-05,2.29408145731335e-05
